Date,Close,High,Low,Open,Volume,Symbol,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume
,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,,ETH-USD,ETH-USD,ETH-USD,ETH-USD,ETH-USD,DOGE-USD,DOGE-USD,DOGE-USD,DOGE-USD,DOGE-USD
2022-04-25,,,,,,ETH-USD,3009.3935546875,3018.41552734375,2804.507080078125,2922.990234375,22332690614.0,,,,,
2022-04-26,,,,,,ETH-USD,2808.29833984375,3026.4150390625,2786.253173828125,3008.9462890625,19052045399.0,,,,,
2022-04-27,,,,,,ETH-USD,2888.9296875,2911.87744140625,2802.2734375,2808.64599609375,17419284041.0,,,,,
2022-04-28,,,,,,ETH-USD,2936.94091796875,2973.135009765625,2861.821533203125,2888.849853515625,18443524633.0,,,,,
2022-04-29,,,,,,ETH-USD,2815.601806640625,2943.44580078125,2782.435302734375,2936.776611328125,18771041399.0,,,,,
2022-04-30,,,,,,ETH-USD,2730.186767578125,2836.82763671875,2727.40625,2815.533447265625,13520941867.0,,,,,
2022-05-01,,,,,,ETH-USD,2827.756103515625,2838.704345703125,2728.078857421875,2729.994140625,15332730152.0,,,,,
2022-05-02,,,,,,ETH-USD,2857.410400390625,2874.14599609375,2785.52294921875,2827.614013671875,18609741545.0,,,,,
2022-05-03,,,,,,ETH-USD,2783.476318359375,2859.193359375,2762.11865234375,2857.15234375,13026093219.0,,,,,
2022-05-04,,,,,,ETH-USD,2940.644775390625,2956.686767578125,2779.273681640625,2783.131103515625,18186749944.0,,,,,
2022-05-05,,,,,,ETH-USD,2749.213134765625,2948.960693359375,2704.916259765625,2940.2265625,22642925048.0,,,,,
2022-05-06,,,,,,ETH-USD,2694.979736328125,2754.837646484375,2645.335205078125,2748.931640625,21027599270.0,,,,,
2022-05-07,,,,,,ETH-USD,2636.093017578125,2696.65283203125,2599.5234375,2694.991943359375,13369276367.0,,,,,
2022-05-08,,,,,,ETH-USD,2517.4599609375,2638.83056640625,2498.43017578125,2636.121826171875,20802269935.0,,,,,
2022-05-09,,,,,,ETH-USD,2245.430419921875,2528.258056640625,2238.062744140625,2518.50830078125,36333567678.0,,,,,
2022-05-10,,,,,,ETH-USD,2343.510986328125,2450.76025390625,2206.7568359375,2242.650390625,38202099639.0,,,,,
2022-05-11,,,,,,ETH-USD,2072.108642578125,2441.079345703125,2018.8555908203125,2342.754150390625,45743399154.0,,,,,
2022-05-12,,,,,,ETH-USD,1961.7015380859375,2170.4580078125,1748.3031005859375,2072.504638671875,42463486402.0,,,,,
2022-05-13,,,,,,ETH-USD,2014.418212890625,2139.71337890625,1941.9759521484375,1960.12255859375,24816096567.0,,,,,
2022-05-14,,,,,,ETH-USD,2056.27392578125,2063.429931640625,1956.572998046875,2014.2806396484375,15457044616.0,,,,,
2022-05-15,,,,,,ETH-USD,2145.706787109375,2147.1943359375,2008.1627197265625,2056.18310546875,14846088335.0,,,,,
2022-05-16,,,,,,ETH-USD,2022.7259521484375,2145.8369140625,1988.811767578125,2145.8369140625,21459552191.0,,,,,
2022-05-17,,,,,,ETH-USD,2090.4091796875,2113.059814453125,2015.9715576171875,2022.88232421875,18509929297.0,,,,,
2022-05-18,,,,,,ETH-USD,1916.6561279296875,2102.32666015625,1916.6561279296875,2090.4599609375,17740965589.0,,,,,
2022-05-19,,,,,,ETH-USD,2018.336181640625,2028.38818359375,1907.0205078125,1916.1495361328125,18734247914.0,,,,,
2022-05-20,,,,,,ETH-USD,1961.315673828125,2054.7958984375,1926.6767578125,2018.0001220703125,15892482289.0,,,,,
2022-05-21,,,,,,ETH-USD,1974.518310546875,1985.39599609375,1944.26513671875,1961.0179443359375,8546822406.0,,,,,
2022-05-22,,,,,,ETH-USD,2043.170166015625,2047.19140625,1966.038818359375,1974.670654296875,10941123403.0,,,,,
2022-05-23,,,,,,ETH-USD,1972.181884765625,2080.33349609375,1964.3865966796875,2042.3447265625,16434529708.0,,,,,
2022-05-24,,,,,,ETH-USD,1978.9827880859375,1991.5355224609375,1920.6881103515625,1972.390869140625,13057109007.0,,,,,
2022-05-25,,,,,,ETH-USD,1944.827880859375,2014.3695068359375,1943.9385986328125,1978.677001953125,13364545730.0,,,,,
2022-05-26,,,,,,ETH-USD,1803.913330078125,1962.171142578125,1759.1995849609375,1945.0333251953125,23458681818.0,,,,,
2022-05-27,,,,,,ETH-USD,1724.9228515625,1814.656494140625,1721.2647705078125,1802.5438232421875,25470760032.0,,,,,
2022-05-28,,,,,,ETH-USD,1757.9417724609375,1757.9417724609375,1724.635986328125,1724.635986328125,23214777872.0,,,,,
2022-05-29,,,,,,ETH-USD,1812.031005859375,1818.776611328125,1765.9373779296875,1792.1844482421875,10642556101.0,,,,,
2022-05-30,,,,,,ETH-USD,1996.4412841796875,2005.2108154296875,1804.4560546875,1811.885986328125,19580808705.0,,,,,
2022-05-31,,,,,,ETH-USD,1942.3280029296875,2005.490966796875,1932.35205078125,1996.4080810546875,18363115560.0,,,,,
2022-06-01,,,,,,ETH-USD,1823.5693359375,1965.1666259765625,1776.05322265625,1942.0506591796875,21037797760.0,,,,,
2022-06-02,,,,,,ETH-USD,1834.1505126953125,1845.31396484375,1789.6641845703125,1822.412109375,17065041354.0,,,,,
2022-06-03,,,,,,ETH-USD,1775.07861328125,1840.058837890625,1746.509765625,1834.135009765625,14878001811.0,,,,,
2022-06-04,,,,,,ETH-USD,1801.6094970703125,1810.2996826171875,1751.5333251953125,1775.2208251953125,8677951273.0,,,,,
2022-06-05,,,,,,ETH-USD,1805.2049560546875,1825.859619140625,1777.13330078125,1801.8189697265625,8850385937.0,,,,,
2022-06-06,,,,,,ETH-USD,1859.2896728515625,1915.030517578125,1804.990234375,1805.635986328125,16518471852.0,,,,,
2022-06-07,,,,,,ETH-USD,1814.04833984375,1862.9149169921875,1729.41357421875,1859.333740234375,24020076750.0,,,,,
2022-06-08,,,,,,ETH-USD,1793.572265625,1830.676025390625,1770.231201171875,1814.1007080078125,18041476023.0,,,,,
2022-06-09,,,,,,ETH-USD,1789.8260498046875,1827.2930908203125,1779.8675537109375,1793.5128173828125,12013083393.0,,,,,
2022-06-10,,,,,,ETH-USD,1665.042236328125,1797.6077880859375,1663.4339599609375,1789.68994140625,18504740451.0,,,,,
2022-06-11,,,,,,ETH-USD,1529.6634521484375,1679.314208984375,1507.0389404296875,1665.2178955078125,21127089064.0,,,,,
2022-06-12,,,,,,ETH-USD,1445.216552734375,1539.705078125,1436.1839599609375,1530.189697265625,23465074882.0,,,,,
2022-06-13,,,,,,ETH-USD,1204.582763671875,1448.738037109375,1181.9482421875,1443.83544921875,45162788786.0,,,,,
2022-06-14,,,,,,ETH-USD,1211.662841796875,1252.4718017578125,1094.701904296875,1204.5552978515625,33327826525.0,,,,,
2022-06-15,,,,,,ETH-USD,1233.2064208984375,1236.6275634765625,1025.6842041015625,1211.365966796875,37539999450.0,,,,,
2022-06-16,,,,,,ETH-USD,1067.730712890625,1246.140625,1058.7845458984375,1233.603515625,18907671369.0,,,,,
2022-06-17,,,,,,ETH-USD,1086.519287109375,1112.4715576171875,1060.86767578125,1067.9876708984375,14591486540.0,,,,,
2022-06-18,,,,,,ETH-USD,993.6367797851562,1095.1668701171875,896.1090087890625,1086.3779296875,21655406608.0,,,,,
2022-06-19,,,,,,ETH-USD,1127.656494140625,1142.3408203125,943.1163330078125,993.400634765625,21795481981.0,,,,,
2022-06-20,,,,,,ETH-USD,1127.6424560546875,1159.9853515625,1066.1131591796875,1127.65625,19739691429.0,,,,,
2022-06-21,,,,,,ETH-USD,1124.8245849609375,1185.4324951171875,1112.5726318359375,1127.5118408203125,15632089439.0,,,,,
